`base_emoji`,✅,String ([emoji](/docs/custom-faces/#emoji-formats)),none
`head`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`cheeks`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`mouth`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`nose`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`eyes`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`eyewear`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`headwear`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
`other`,❌,String ([emoji](/docs/custom-faces/#emoji-formats)),base emoji
